"country_id","code","default_name"
"Thailand","BKK","Bangkok"
"Thailand","SPK","Samut Prakarn"
"Thailand","NBI","Nonthaburi"
"Thailand","PTE","Pathum Thani"
"Thailand","AYA","Ayutthaya"
"Thailand","ATG","Ang Thong"
"Thailand","LRI","Lop Buri"
"Thailand","SBR","Singburi"
"Thailand","CNT","Chai Nat"
"Thailand","SRI","Saraburi"
"Thailand","CBI","Chonburi"
"Thailand","RYG","Rayong"
"Thailand","CTI","Chanthaburi"
"Thailand","TRT","Trat"
"Thailand","CCO","Chachoengsao"
"Thailand","PRI","Prachinburi"
"Thailand","NYK","Nakhon Nayok"
"Thailand","SKW","Sa Kaeo"
"Thailand","NMA","Nakhon Ratchasima"
"Thailand","BRM","Buriram"
"Thailand","SRN","Surin"
"Thailand","SSK","Sisaket"
"Thailand","UBN","Ubon Ratchathani"
"Thailand","YST","Yasothon"
"Thailand","CPM","Chaiyaphum"
"Thailand","ACR","Amnat Charoen"
"Thailand","BKN","Bueng Kan"
"Thailand","NBP","Nong Bua Lamphu"
"Thailand","KKN","Khon Kaen"
"Thailand","UDN","Udon Thani"
"Thailand","LEI","Loei"
"Thailand","NKI","Nong Khai"
"Thailand","MKM","Maha Sarakham"
"Thailand","RET","Roi Et"
"Thailand","KSN","Kalasin"
"Thailand","SNK","Sakon Nakhon"
"Thailand","NPM","Nakhon Phanom"
"Thailand","MDH","Mukdahan"
"Thailand","CMI","Chiang Mai"
"Thailand","LPN","Lamphun"
"Thailand","LPG","Lampang"
"Thailand","UTD","Uttaradit"
"Thailand","PRE","Phrae"
"Thailand","NAN","Nan"
"Thailand","PYO","Phayao"
"Thailand","CRI","Chiang Rai"
"Thailand","MSN","Mae Hong Son"
"Thailand","NSN","Nakhon Sawan"
"Thailand","UTI","Uthai Thani"
"Thailand","KPT","Kamphaeng Phet"
"Thailand","TAK","Tak"
"Thailand","STI","Sukhothai"
"Thailand","PLK","Phitsanulok"
"Thailand","PCT","Phichit"
"Thailand","PNB","Phetchabun"
"Thailand","RBR","Ratchaburi"
"Thailand","KRI","Kanchanaburi"
"Thailand","SPB","Suphanburi"
"Thailand","NPT","Nakhon Pathom"
"Thailand","SKN","Samut Sakorn"
"Thailand","SKM","Samut Songkhram"
"Thailand","PBI","Phetchaburi"
"Thailand","PKN","Prachuap Khiri Khan"
"Thailand","NRT","Nakhon Si Thammarat"
"Thailand","KBI","Krabi"
"Thailand","PNA","Phang Nga"
"Thailand","PKT","Phuket"
"Thailand","SNI","Surat Thani"
"Thailand","RNG","Ranong"
"Thailand","CPN","Chumphon"
"Thailand","SKA","Songkhla"
"Thailand","STN","Satun"
"Thailand","TRG","Trang"
"Thailand","PLG","Phatthalung"
"Thailand","PTN","Pattani"
"Thailand","YLA","Yala"
"Thailand","NWT","Narathiwat"